N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
115,금호석유,"108,600","상승
				2,100",+1.97%,"5,000","29,685","27,335",21.94,"51,013",8.89,7.77,
116,롯데케미칼,"68,000","상승
				1,600",+2.41%,"5,000","29,087","42,775",24.22,"145,038",-3.81,-0.33,
117,CJ,"99,100","상승
				2,500",+2.59%,"5,000","28,914","29,177",15.64,"27,398",27.74,3.64,
118,LS,"89,400","상승
				1,700",+1.94%,"5,000","28,787","32,200",17.54,"116,489",5.79,9.63,
119,KODEX 머니마켓액티브,"101,190","상승
				10",+0.01%,0,"28,687","28,350",0.00,"44,632",N/A,N/A,
120,KODEX 종합채권(AA-이상)액티브,"115,410","상승
				240",+0.21%,0,"28,557","24,744",0.00,"23,928",N/A,N/A,
121,TIGER 미국테크TOP10 INDXX,"22,650","하락
				35",-0.15%,0,"28,063","123,900",0.04,"1,231,056",N/A,N/A,
122,한전기술,"71,200",보합0,0.00%,200,"27,213","38,220",8.85,"68,668",68.99,5.99,
123,동서,"27,100","상승
				1,200",+4.63%,500,"27,019","99,700",4.52,"141,419",16.61,9.23,
124,TIGER 미국필라델피아반도체나스닥,"18,350","상승
				30",+0.16%,0,"26,507","144,450",0.17,"896,847",N/A,N/A,
125,현대해상,"28,100",보합0,0.00%,500,"25,121","89,400",39.81,"161,193",2.71,7.81,
126,KODEX 레버리지,"15,570","상승
				400",+2.64%,0,"24,118","154,900",0.19,"12,507,745",N/A,N/A,
127,한화생명,"2,750","상승
				10",+0.36%,"5,000","23,885","868,530",10.63,"539,061",3.47,5.43,
128,휠라홀딩스,"39,600","하락
				350",-0.88%,"1,000","23,798","60,096",44.20,"48,781",23.19,2.25,
129,GS리테일,"22,700","상승
				100",+0.44%,"1,000","23,771","104,718",8.29,"131,614",-27.96,0.44,
130,에스원,"62,000",보합0,0.00%,500,"23,559","37,999",55.77,"9,692",12.00,12.14,
